"","X","Year.Tag","Moved","First.Line","Second.Line","Year","Year.Line","Tags","Sex","Closest.Dist","Adj.Year.Avg.Abund","Adj.Line.Abund","Adj.Avg.Abund.z","Adj.Diff","Adj.Line.Abund.z","PI","Adj.Diff.z","Year.Numeric"
"126",1460,"2012-D222.D221","0","111",NA,"2012","2012-111","D222.D221","M",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"127",1461,"2012-D238.D237","0","112",NA,"2012","2012-112","D238.D237","F",0.84576,12.80150754,25.57692308,-0.06690277,12.77541554,0.867014469,"3",1.12956931065694,2012
"128",1462,"2012-D243.D242","0","111",NA,"2012","2012-111","D243.D242","F",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"129",1463,"2012-D312.D311","1","401","303","2012","2012-401","D312.D311","M",0.26028,12.80150754,6.458333333,-0.06690277,-6.343174204,-1.160690599,"3",-1.48791091427214,2012
"130",1464,"2012-D331.D330","0","801",NA,"2012","2012-801","D331.D330","M",0.5879,12.80150754,15,-0.06690277,2.198492462,-0.254767044,"3",-0.318491836528325,2012
"131",1465,"2012-D333.D332","0","801",NA,"2012","2012-801","D333.D332","F",0.5879,12.80150754,15,-0.06690277,2.198492462,-0.254767044,"3",-0.318491836528325,2012
"132",1466,"2012-D335.D334","0","803",NA,"2012","2012-803","D335.D334","F",0.5879,12.80150754,9.6,-0.06690277,-3.201507538,-0.827487496,"3",-1.05779287305236,2012
"133",1467,"2012-D344.D343","0","801",NA,"2012","2012-801","D344.D343","F",0.5879,12.80150754,15,-0.06690277,2.198492462,-0.254767044,"3",-0.318491836528325,2012
"134",1468,"2012-D367.D368","0","503",NA,"2012","2012-503","D367.D368","F",0.26938,12.80150754,8.75,-0.06690277,-4.051507538,-0.917637938,"3",-1.17416433250522,2012
"135",1469,"2012-D423.D422","0","501",NA,"2012","2012-501","D423.D422","F",0.26938,12.80150754,9.583333333,-0.06690277,-3.218174204,-0.829255152,"3",-1.0600746662837,2012
"136",1470,"2012-D424.D425","0","501",NA,"2012","2012-501","D424.D425","M",0.26938,12.80150754,9.583333333,-0.06690277,-3.218174204,-0.829255152,"3",-1.0600746662837,2012
"137",1471,"2012-D440.E347","0","111",NA,"2012","2012-111","D440.E347","M",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"138",1472,"2012-D450.D449","0","112",NA,"2012","2012-112","D450.D449","F",0.84576,12.80150754,25.57692308,-0.06690277,12.77541554,0.867014469,"3",1.12956931065694,2012
"139",1473,"2012-D516.D515","0","201",NA,"2012","2012-201","D516.D515","F",0.30549,12.80150754,21.94444444,-0.06690277,9.142936907,0.481756171,"3",0.632255381299841,2012
"140",1474,"2012-D522.D523","0","203",NA,"2012","2012-203","D522.D523","F",0.19949,12.80150754,15,-0.06690277,2.198492462,-0.254767044,"3",-0.318491836528325,2012
"141",1475,"2012-D524.D525","0","203",NA,"2012","2012-203","D524.D525","F",0.19949,12.80150754,15,-0.06690277,2.198492462,-0.254767044,"3",-0.318491836528325,2012
"142",1476,"2012-D534.D533","0","303",NA,"2012","2012-303","D534.D533","F",0.26028,12.80150754,6.666666667,-0.06690277,-6.134840871,-1.138594902,"3",-1.45938849778522,2012
"143",1477,"2012-D542.D541","0","402",NA,"2012","2012-402","D542.D541","M",0.85448,12.80150754,4.038461538,-0.06690277,-8.763045999,-1.417340611,"3",-1.81920975247562,2012
"144",1478,"2012-D551.D552","0","202",NA,"2012","2012-202","D551.D552","F",0.19949,12.80150754,15.71428571,-0.06690277,2.912778177,-0.179010371,"3",-0.220700694033175,2012
"145",1479,"2012-D565.D564","0","202",NA,"2012","2012-202","D565.D564","F",0.19949,12.80150754,15.71428571,-0.06690277,2.912778177,-0.179010371,"3",-0.220700694033175,2012
