"","timesincefire","avg.org","cubeorg","Moisture","ecoregion3","cubePima","burn.name","site"
"494",1,9.3,2.10294371746142,"Subhydric","shield",1.44291397698133,"Wekweeti","ZF26-6"
"495",1,10.25,2.17224074288431,"Mesic","shield",1.76661669843641,"Wekweeti","ZF26-6"
"496",1,3.15,1.46589720887824,"Mesic","shield",1.6264207206252,"Wekweeti","ZF26-7"
"497",1,2,1.25992104989487,"Xeric","shield",2.191295501292,"Wekweeti","ZF26-7"
"498",1,22.9,2.83973944577827,"Subhydric","shield",1.66369626010709,"Wekweeti","ZF26-7"
"499",1,4.7,1.67506868360223,"Mesic","shield",1.60941873645529,"Wekweeti","ZF26-96"
"500",1,42.2,3.48153541265259,"Subhydric","shield",1.4103503882487,"Wekweeti","ZF26-96"
"501",1,12.33333333,2.31043358926812,"Mesic","shield",1.97840373947081,"Wekweeti","ZF26-98"
"502",1,20.3,2.72792240414759,"Subhydric","plains",1.58207155506021,"Gameti West","ZF35-11"
"503",1,1.8,1.21644039911468,"Xeric","plains",2.43822177949946,"Gameti West","ZF35-11"
"504",1,4.35,1.63241190102949,"Mesic","plains",1.92686318474083,"Gameti West","ZF35-11"
"505",1,25.7,2.95105774575144,"Mesic","plains",2.39616398950323,"Gameti West","ZF35-24"
"506",1,1.85,1.22760102619215,"Xeric","plains",2.0325997464194,"Gameti West","ZF35-24"
"507",1,39.3,3.39988465583327,"Subhydric","plains",1.56933050037703,"Gameti West","ZF35-24"
"508",1,22.7,2.83144818852819,"Subhydric","plains",1.96802658033522,"Gameti West","ZF35-29"
"509",1,22.1,2.80627842839044,"Mesic","plains",2.20947256988982,"Gameti West","ZF35-29"
"510",1,4.35,1.63241190102949,"Mesic","plains",1.42708583901971,"Gameti West","ZF35-2"
"511",1,3.15,1.46589720887824,"Xeric","plains",2.24733389954452,"Gameti West","ZF35-2"
"512",1,38.1,3.36492192487753,"Subhydric","plains",0.308821159381038,"Gameti West","ZF35-2"
"513",1,2.15,1.29066288067403,"Mesic","plains",2.01152357335796,"Gameti West","ZF35-33"
"514",1,29.1,3.07584417301533,"Subhydric","plains",1.59192922291465,"Gameti West","ZF35-37"
"515",1,1.3,1.09139288306111,"Xeric","plains",2.18830182567483,"Gameti West","ZF35-37"
"516",1,4.7,1.67506868360223,"Mesic","plains",1.78000645034064,"Gameti West","ZF35-39"
"517",1,0.75,0.90856029641607,"Xeric","plains",0.985863006872907,"Gameti West","ZF35-39"
"518",1,19.2,2.67773180032868,"Subhydric","plains",1.58956692291183,"Gameti West","ZF35-39"
"519",1,24,2.88449914061482,"Mesic","plains",2.11261013216665,"Gameti West","ZF35-40"
"520",1,0.1,0.464158883361278,"Xeric","plains",0.88358787726187,"Gameti West","ZF35-40"
"521",1,37,3.33222185164595,"Subhydric","plains",2.06098091099886,"Gameti West","ZF35-9"
"522",1,3.1,1.45809973582671,"Xeric","plains",1.73493045789251,"Gameti West","ZF35-9"
"523",1,12,2.28942848510666,"Mesic","plains",1.59534815564007,"Gameti West","ZF35-9"
"524",1,9.65,2.1290005376555,"Mesic","shield",2.54685994989689,"Gameti East","ZF44-16"
"525",1,6.3,1.84691475044783,"Xeric","shield",2.63834813301022,"Gameti East","ZF44-16"
"526",1,37.1,3.33522115286161,"Subhydric","shield",1.70756727554879,"Gameti East","ZF44-36"
"527",1,7.3,1.93987741458033,"Mesic","shield",2.14519795863023,"Gameti East","ZF44-36"
"528",1,1.75,1.20507113208762,"Xeric","shield",1.41402609823345,"Gameti East","ZF44-37"
"529",1,6,1.81712059283214,"Mesic","shield",3.0215221881328,"Gameti East","ZF44-37"
"530",1,24,2.88449914061482,"Subhydric","shield",1.83323602462766,"Gameti East","ZF44-51"
"531",1,4.75,1.68098770339948,"Mesic","shield",0,"Gameti East","ZF44-52"
"532",1,28,3.03658897187566,"Subhydric","shield",2.11055509125951,"Gameti East","ZF44-52"
"533",1,14.3,2.42723604291694,"Mesic","shield",2.23784239588163,"Gameti East","ZF44-54"
"534",1,35.1,3.27417864918332,"Subhydric","shield",2.49473753248019,"Gameti East","ZF44-54"
"535",1,41.2,3.45381500546985,"Subhydric","shield",1.49686931590539,"Gameti East","ZF44-5"
"536",1,9.05,2.08392871872048,"Mesic","shield",2.45458901232592,"Gameti East","ZF44-9"
"537",1,3.4,1.50369459620497,"Mesic","plains",1.9358934225119,"Northern","ZF46-15"
"538",1,30.5,3.12439988476312,"Subhydric","plains",2.11478802190804,"Northern","ZF46-15"
"539",1,36.6,3.32017031109669,"Subhydric","plains",1.30041699798165,"Northern","ZF46-18"
"540",1,0.4,0.736806299728077,"Xeric","plains",0,"Northern","ZF46-1"
"541",1,16.1,2.52508087183385,"Subhydric","plains",2.27832593269611,"Northern","ZF46-1"
"542",1,11.35,2.24732191653155,"Mesic","plains",1.7195149289027,"Northern","ZF46-1"
"543",1,1.75,1.20507113208762,"Mesic","plains",1.32743406952291,"Northern","ZF46-21"
"544",1,14.7,2.44965981671321,"Subhydric","plains",2.15935520019571,"Northern","ZF46-21"
"545",1,1.95,1.24933297746139,"Xeric","plains",0,"Northern","ZF46-21"
"546",1,5.85,1.80184994991457,"Mesic","plains",1.60231237002227,"Northern","ZF46-24"
"547",1,26.95,2.99814700385222,"Subhydric","plains",2.13742333087974,"Northern","ZF46-30"
"548",1,25.65,2.94914271747468,"Mesic","plains",2.57301325974599,"Northern","ZF46-35"
"549",1,0.35,0.704729873206489,"Xeric","plains",0.167653919554594,"Northern","ZF46-35"
"550",1,20.75,2.74793233004751,"Mesic","plains",2.35383628718819,"Northern","ZF46-35"
"551",1,7.05,1.91747497937454,"Mesic","plains",1.7268035868368,"Northern","ZF46-37"
"552",1,5.8,1.79670177914305,"Mesic","plains",1.9532137210599,"Northern","ZF46-37"
"553",1,1.6,1.16960709528515,"Xeric","plains",0.511775545282683,"Northern","ZF46-37"
"554",1,3.3,1.48880555295383,"Xeric","plains",0.501057237588392,"Northern","ZF46-401"
"555",1,2.21,1.30255906172255,"Mesic","plains",0.943238392250815,"Northern","ZF46-401"
"556",1,21,2.75892417638112,"Mesic","plains",2.04230136282789,"Northern","ZF46-48"
"557",1,2.35,1.32950289523459,"Xeric","plains",0,"Northern","ZF46-48"
"558",1,10.9,2.21722023096663,"Mesic","plains",1.58043117925548,"Northern","ZF46-51"
"559",1,2.75,1.40101966532769,"Xeric","plains",2.04240596856354,"Northern","ZF46-51"
